;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-06-19T07:00:00;10624.304985230885;4828.011298494308;134220.37064495232;51154.06104000055;4828.011298494308;10558.422511897706;127885.15260000147;9656.022596988616;100665.27798371424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T08:00:00;9145.677564922107;4287.686342567776;115540.3797490282;44034.74383110644;4287.686342567776;9376.780874030366;110086.85957776615;8575.372685135551;86655.28481177115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T09:00:00;9965.816200556494;4257.760652701076;125901.46330302229;47983.55948416089;4257.760652701076;9311.336106394638;119958.8987104023;8515.521305402151;94426.09747726673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T10:00:00;8002.9251531850905;3960.332546192594;101103.60929938713;38532.60258940968;3960.332546192594;8660.88783250397;96331.50647352426;7920.665092385188;75827.70697454036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T11:00:00;7316.542051937685;3774.6270151864587;92432.30379922256;35227.79506488514;3774.6270151864587;8254.766691120025;88069.48766221291;7549.254030372917;69324.22784941691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T12:00:00;6607.75204065622;4015.0300571156176;83477.92436867286;31815.102417974387;4015.0300571156176;8780.506324460383;79537.75604493602;8030.060114231235;62608.443276504644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T13:00:00;3860.8477840318665;3696.820221533039;48775.37131105225;18589.26710830158;3696.820221533039;8084.610295267128;46473.16777075397;7393.640443066078;36581.52848328919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T14:00:00;3275.5244198768523;3371.2952173163767;41380.78700711445;15771.04350311077;3371.2952173163767;7372.716656207357;39427.60875777695;6742.590434632753;31035.59025533584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T15:00:00;3487.2468555047994;3130.892175387218;44055.54679830445;16790.447822800877;3130.892175387218;6846.977022866997;41976.119557002225;6261.784350774436;33041.66009872834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T16:00:00;3451.350071062479;3214.3515993487927;43602.05080778951;16617.611453263784;3214.3515993487927;7029.495208162197;41544.02863315949;6428.703198697585;32701.538105842134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T17:00:00;2967.772369817223;3339.0419737933767;37492.853228559645;14289.274373194035;3339.0419737933767;7302.181739977736;35723.185932985114;6678.083947586753;28119.639921419734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T18:00:00;2691.344265417453;3513.6084980157966;34000.64525064528;12958.324240898844;3513.6084980157966;7683.942884519496;32395.810602247133;7027.216996031593;25500.483937983954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T19:00:00;3245.8009677908553;4195.249211646191;41005.280772930106;15627.930585659673;4195.249211646191;9174.629258444445;39069.8264641492;8390.498423292382;30753.960579697585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T20:00:00;2193.81940588569;4313.455686619656;27715.24859229814;10562.834176486653;4313.455686619656;9433.13609060558;26407.08544121665;8626.911373239313;20786.436444223604;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T21:00:00;4042.3894836955706;4143.710523542429;51068.847849070466;19463.35677334904;4143.710523542429;9061.918825294022;48658.39193337263;8287.421047084857;38301.63588680285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T22:00:00;3034.3071741020317;3407.871060486788;38333.409491233826;14609.627134565335;3407.871060486788;7452.704705539915;36524.06783641336;6815.742120973576;28750.057118425368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-19T23:00:00;6228.206421711954;2429.799763343468;78682.9986090882;29987.660548983484;2429.799763343468;5313.75154997882;74969.15137245876;4859.599526686936;59012.24895681616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T00:00:00;5706.215417275089;1749.1730391800072;73865.1295546478;27474.37052762079;1749.1730391800072;3865.2698119262304;68685.92631905201;3498.3460783600144;55398.847165985855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T01:00:00;6917.245813630628;1699.695071072649;89541.52986204022;33305.25762118451;1699.695071072649;3755.93489068226;83263.1440529613;3399.390142145298;67156.14739653017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T02:00:00;5804.7997254617;1627.8568673783113;75141.27182474399;27949.035715185957;1627.8568673783113;3597.188995414574;69872.58928796496;3255.7137347566227;56355.953868558005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T03:00:00;5199.025094893966;1810.2275831586385;67299.71340191599;25032.343049489464;1810.2275831586385;4000.1863012817694;62580.857623723685;3620.455166317277;50474.785051436986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T04:00:00;9319.589744704388;2716.3721657401948;120639.10202280576;44872.0987707989;2716.3721657401948;6002.557262781904;112180.2469269973;5432.7443314803895;90479.32651710433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T05:00:00;6358.687878036481;4180.253972147325;82311.17642120563;30615.90459795343;4180.253972147325;9237.399115355889;76539.76149488363;8360.50794429465;61733.38231590421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T06:00:00;4746.05614201548;4809.9879828983485;61436.17549773708;22851.38142451897;4809.9879828983485;10628.966334137307;57128.453561297465;9619.975965796697;46077.131623302805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-20T07:00:00;6508.120934656187;4659.175330109576;84245.53944114092;31335.397092789044;4659.175330109576;10295.705083807132;78338.49273197266;9318.350660219152;63184.15458085569;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
