Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486403.8137261668;5638320.412040508
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486546.02668314613;5638261.237775689
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486340.6070910113;5638268.668637828
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486324.5913964229;5638262.472342384
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486535.1617131964;5638335.447477697
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486535.15315560077;5638355.988175829
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486544.0991857498;5638342.442768613
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486527.29401726526;5638365.171639827
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486528.9232274153;5638374.336849378
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486527.42504263844;5638383.747048808
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486556.1138745863;5638272.087243077
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486549.2932973816;5638256.361825265
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486588.5227444758;5638213.066167413
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486574.0806212143;5638248.743851941
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486590.671045771;5638238.986658591
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486575.81353704835;5638238.972094565
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486568.0347212182;5638194.325915962
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486568.0943163469;5638234.453939759
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486559.04693588155;5638222.219273297
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486582.9332843361;5638232.958030499
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486562.8824337315;5638251.55287972
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486563.2323673291;5638256.247750067
